sv,time,SVclockBias,SVclockDrift,SVclockDriftRate,IODE,Crs,DeltaN,M0,Cuc,Eccentricity,Cus,sqrtA,Toe,Cic,Omega0,Cis,Io,Crc,omega,OmegaDot,IDOT,CodesL2,GPSWeek,L2Pflag,SVacc,health,TGD,IODC,TransTime
G02,2019-09-17 05:59:44,-0.0003067553043365,-8.185452315956e-12,0.0,31.0,58.0,4.607691928864e-09,-1.885744677292,3.151595592499e-06,0.01912533992436,7.016584277153e-06,5153.535928726,194384.0,3.818422555923e-07,1.228950542129,2.011656761169e-07,0.9558175822331,241.96875,-1.714396728259,-7.969260523117e-09,3.207276453081e-10,1.0,2071.0,0.0,2.0,0.0,-2.048909664154e-08,31.0,187184.0
G02,2019-09-17 08:00:00,-0.0003068139776587,-8.185452315956e-12,0.0,54.0,51.8125,4.915561895741e-09,-0.8331988887524,2.875924110413e-06,0.01912472315598,7.713213562965e-06,5153.533714294,201600.0,-2.346932888031e-07,1.22889071902,2.216547727585e-07,0.9558171462836,234.34375,-1.714341561619,-8.577500144453e-09,3.26085011321e-10,1.0,2071.0,0.0,2.0,0.0,-2.048909664154e-08,54.0,194400.0
G05,2019-09-17 06:00:00,-1.486390829086e-06,-3.410605131648e-13,0.0,65.0,-40.96875,4.965206820794e-09,0.7374172255531,-1.953914761543e-06,0.005891517852433,4.777684807777e-06,5153.761898041,194400.0,-8.940696716309e-08,2.313961287261,4.097819328308e-08,0.9505633320125,282.59375,0.78429615306,-8.472852928334e-09,-2.746542975968e-10,1.0,2071.0,0.0,2.0,0.0,-1.117587089539e-08,65.0,187200.0
G05,2019-09-17 08:00:00,-1.488719135523e-06,-3.410605131648e-13,0.0,67.0,-38.84375,5.055210569811e-09,1.787613890962,-2.102926373482e-06,0.005891350912862,4.859641194344e-06,5153.761104584,201600.0,-6.891787052155e-08,2.313900353798,-2.607703208923e-08,0.9505611946892,284.78125,0.7842302968768,-8.468567035523e-09,-3.007268121931e-10,1.0,2071.0,0.0,2.0,0.0,-1.117587089539e-08,67.0,194400.0
G10,2019-09-17 06:00:00,-5.696061998606e-05,-1.534772309242e-11,0.0,68.0,-46.1875,4.701267255223e-09,2.147117594238,-2.354383468628e-06,0.004832691862248,4.984438419342e-06,5153.659660339,194400.0,-1.303851604462e-07,2.339176947881,1.117587089539e-08,0.963699075329,284.21875,-2.734078424952,-8.271773123981e-09,-2.753686130652e-10,1.0,2071.0,0.0,2.0,0.0,1.862645149231e-09,68.0,187200.0
G10,2019-09-17 08:00:00,-5.707144737244e-05,-1.534772309242e-11,0.0,70.0,-44.46875,4.639478967207e-09,-3.085833541239,-2.270564436913e-06,0.004832884995267,5.107372999191e-06,5153.659158707,201600.0,-3.352761268616e-08,2.339117731883,-5.40167093277e-08,0.9636976445951,282.5,-2.734121706846,-8.165697276925e-09,-2.592965150264e-10,1.0,2071.0,0.0,2.0,0.0,1.862645149231e-09,70.0,194400.0
G12,2019-09-17 06:00:00,0.0002032136544585,-3.751665644813e-12,0.0,54.0,-52.25,4.344466678761e-09,2.828096677921,-2.799555659294e-06,0.007479445193894,4.664063453674e-06,5153.579353333,194400.0,-1.862645149231e-08,-0.7314222121339,-1.862645149231e-07,0.9813895380135,296.28125,1.105609603066,-7.996047353182e-09,-3.682296239562e-10,1.0,2071.0,0.0,2.0,0.0,-1.257285475731e-08,54.0,187200.0
G12,2019-09-17 08:00:00,0.0002031861804426,-3.751665644813e-12,0.0,82.0,-50.84375,4.448042421678e-09,-2.404892930838,-2.602115273476e-06,0.007479825755581,4.610046744347e-06,5153.578542709,201600.0,1.750886440277e-07,-0.7314811867504,0.0,0.981387457744,300.75,1.105652220796,-8.063550164945e-09,-1.607209803882e-10,1.0,2071.0,0.0,2.0,0.0,-1.257285475731e-08,82.0,194400.0
G13,2019-09-17 06:00:00,-4.390394315124e-05,2.046363078989e-12,0.0,70.0,6.875,4.110885520597e-09,-0.853960521192,4.284083843231e-07,0.003772751078941,1.144036650658e-05,5153.676113129,194400.0,-7.450580596924e-09,-2.770454533992,7.078051567078e-08,0.9683385283751,165.0625,1.209124466282,-7.844969631617e-09,2.71439877989e-11,1.0,2071.0,0.0,2.0,0.0,-1.117587089539e-08,70.0,187200.0
G13,2019-09-17 08:00:00,-4.388904199004e-05,2.046363078989e-12,0.0,75.0,5.28125,4.067669434759e-09,0.1961316757744,2.235174179077e-07,0.0037727705203,1.16229057312e-05,5153.675966263,201600.0,-9.499490261078e-08,-2.770510752471,3.911554813385e-08,0.9683386892961,160.71875,1.209208957115,-7.822111536628e-09,-2.142946405177e-11,1.0,2071.0,0.0,2.0,0.0,-1.117587089539e-08,75.0,194400.0
G15,2019-09-17 06:00:00,-0.0002863933332264,2.728484105319e-12,0.0,68.0,-19.28125,5.044495837786e-09,-0.860420053526,-8.028000593185e-07,0.01170672639273,1.052021980286e-05,5153.571931839,194400.0,1.471489667892e-07,-2.992219814377,2.291053533554e-07,0.9285528254266,157.1875,0.8088890538416,-8.369634343151e-09,-1.400058318049e-10,1.0,2071.0,0.0,2.0,0.0,-1.071020960808e-08,68.0,187200.0
G15,2019-09-17 08:00:00,-0.0002863737754524,2.728484105319e-12,0.0,72.0,-24.28125,5.044495837786e-09,0.1898421857233,-1.119449734688e-06,0.01170627505053,1.057982444763e-05,5153.571237564,201600.0,-5.029141902924e-08,-2.992280398204,2.402812242508e-07,0.9285515570766,159.4375,0.8088735220404,-8.417136321799e-09,-1.732215010851e-10,1.0,2071.0,0.0,2.0,0.0,-1.071020960808e-08,72.0,194400.0
G20,2019-09-17 06:00:00,0.0005268980748951,1.136868377216e-13,0.0,25.0,-33.40625,5.44665544649e-09,-2.53293093266,-1.531094312668e-06,0.004846101859584,4.008412361145e-06,5153.616861343,194400.0,-4.470348358154e-08,2.216849291711,4.284083843231e-08,0.9315364132021,285.09375,2.431241649305,-8.622859176696e-09,-1.510777215649e-10,1.0,2071.0,0.0,2.0,0.0,-8.847564458847e-09,25.0,187200.0
G20,2019-09-17 08:00:00,0.0005268990062177,1.136868377216e-13,0.0,73.0,-32.28125,5.425225982439e-09,-1.482708186347,-1.627951860428e-06,0.004846257041208,4.265457391739e-06,5153.616735458,201600.0,-6.705522537231e-08,2.216786864608,-9.313225746155e-09,0.9315351667959,283.28125,2.431241454737,-8.676075679091e-09,-1.335769925893e-10,1.0,2071.0,0.0,2.0,0.0,-8.847564458847e-09,73.0,194400.0
G21,2019-09-17 06:00:00,-0.0001175068318844,6.480149750132e-12,0.0,33.0,66.75,4.667694428209e-09,2.289025273673,3.29315662384e-06,0.02448393276427,6.852671504021e-06,5153.657611847,194400.0,3.241002559662e-07,1.232694598609,1.676380634308e-08,0.9496318042964,233.03125,-1.411843254013,-7.829254691312e-09,2.542963067476e-10,1.0,2071.0,0.0,2.0,0.0,-1.024454832077e-08,33.0,187200.0
G21,2019-09-17 08:00:00,-0.0001174602657557,6.480149750132e-12,0.0,35.0,68.90625,4.716625037793e-09,-2.943974685231,3.503635525703e-06,0.02448389341589,7.063150405884e-06,5153.65779686,201600.0,2.6635825634e-07,1.23263778326,1.881271600723e-07,0.9496338319008,233.34375,-1.411836531904,-7.813896908742e-09,3.550147877909e-10,1.0,2071.0,0.0,2.0,0.0,-1.024454832077e-08,35.0,194400.0
G25,2019-09-17 06:00:00,-1.24741345644e-05,-1.477928890381e-12,0.0,91.0,-49.3125,4.65840832712e-09,2.445470958996,-2.672895789146e-06,0.00840860826429,4.373490810394e-06,5153.65644455,194400.0,-5.774199962616e-08,-0.7971523400461,-1.732259988785e-07,0.9687299306443,298.34375,0.8967787874875,-8.141410551e-09,-2.742971398626e-10,1.0,2071.0,0.0,2.0,0.0,5.587935447693e-09,91.0,187200.0
G25,2019-09-17 08:00:00,-1.248484477401e-05,-1.477928890381e-12,0.0,92.0,-44.15625,4.687695261324e-09,-2.787541734611,-2.356246113777e-06,0.008407892659307,4.298985004425e-06,5153.657814026,201600.0,1.229345798492e-07,-0.7972115531183,-1.974403858185e-07,0.9687279483903,299.5625,0.8967984769019,-8.206056100889e-09,-1.853648640478e-10,1.0,2071.0,0.0,2.0,0.0,5.587935447693e-09,92.0,194400.0
G26,2019-09-17 07:59:44,4.08673658967e-05,8.753886504564e-12,0.0,1.0,-45.0,5.205931133642e-09,2.980698730318,-2.209097146988e-06,0.003890891559422,3.978610038757e-06,5153.664546967,201584.0,-9.126961231232e-08,-0.8278516144969,-5.587935447693e-08,0.9499302951754,297.71875,0.1260730073325,-8.461066723105e-09,-1.753644474903e-10,1.0,2071.0,0.0,2.0,0.0,7.450580596924e-09,1.0,194384.0
G29,2019-09-17 06:00:00,9.570736438036e-05,-1.023181539495e-11,0.0,122.0,-15.90625,3.744084527578e-09,0.2678210911835,-9.443610906601e-07,0.001184238353744,1.170672476292e-05,5153.696382523,194400.0,-1.862645149231e-08,0.3129749837272,1.862645149231e-09,0.9860414507329,167.3125,2.004718472343,-7.592101955806e-09,-1.385772008681e-10,1.0,2071.0,0.0,2.0,0.0,-9.778887033463e-09,122.0,187200.0
G29,2019-09-17 08:00:00,9.563378989697e-05,-1.023181539495e-11,0.0,123.0,-22.71875,3.731584006881e-09,1.316956592391,-1.363456249237e-06,0.001185352681205,1.109577715397e-05,5153.699493408,201600.0,-3.352761268616e-08,0.3129203159415,-5.587935447693e-09,0.9860404471711,177.0,2.005743490764,-7.596387848617e-09,-1.357199389945e-10,1.0,2071.0,0.0,2.0,0.0,-9.778887033463e-09,123.0,194400.0
G32,2019-09-17 06:00:00,9.570736438036e-05,-1.023181539495e-11,0.0,122.0,-15.90625,3.744084527578e-09,0.2678210911835,-9.443610906601e-07,0.001184238353744,1.170672476292e-05,5153.696382523,194400.0,-1.862645149231e-08,0.3129749837272,1.862645149231e-09,0.9860414507329,167.3125,2.004718472343,-7.592101955806e-09,-1.385772008681e-10,1.0,2071.0,0.0,2.0,0.0,-9.778887033463e-09,122.0,187200.0
G32,2019-09-17 08:00:00,9.563378989697e-05,-1.023181539495e-11,0.0,123.0,-22.71875,3.731584006881e-09,1.316956592391,-1.363456249237e-06,0.001185352681205,1.109577715397e-05,5153.699493408,201600.0,-3.352761268616e-08,0.3129203159415,-5.587935447693e-09,0.9860404471711,177.0,2.005743490764,-7.596387848617e-09,-1.357199389945e-10,1.0,2071.0,0.0,2.0,0.0,-9.778887033463e-09,123.0,194400.0
